SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.9999998999999999,29,0,0.16719118800000002,2541.0,3,0,0,0,2.0
0,0.022649431,65,0,0.40251027899999997,9241.0,12,0,2,0,1.0
0,0.435809126,55,1,0.380973386,6800.0,25,1,1,1,2.0
0,0.056437742,56,0,1740.0,,5,0,1,0,0.0
0,0.254972286,29,2,0.013997201,5000.0,4,0,0,0,0.0
0,0.018851224,38,0,0.14220808699999998,2200.0,15,0,0,0,0.0
0,0.01678737,43,0,0.006397440999999999,2500.0,1,0,0,0,0.0
0,0.22912103600000003,52,2,3251.0,,14,0,2,0,0.0
0,0.41798221399999996,45,0,2332.0,,4,0,1,0,0.0
0,0.572816255,62,0,0.942540995,7500.0,28,0,2,0,0.0
0,0.03599904,59,0,755.0,,7,0,1,0,
0,0.0,52,0,2958.0,,8,0,2,0,0.0
0,0.016299185,85,0,9.0,,3,0,0,0,0.0
0,0.657736905,49,1,0.402999063,3200.0,3,0,1,0,4.0
0,0.38097460200000005,54,0,0.33120438,6575.0,6,0,1,0,1.0
0,0.029095388,67,0,0.028490027999999997,4562.0,16,0,0,0,0.0
0,0.9999998999999999,57,0,0.09459856900000001,10200.0,2,0,1,0,2.0
0,0.9999998999999999,50,0,0.141167395,11666.0,2,0,1,0,0.0
0,0.251934961,44,0,1.027813994,2300.0,11,0,2,0,0.0
0,0.19371354600000001,74,0,0.282857662,5500.0,12,0,1,0,1.0
0,0.0,69,0,0.266748712,13000.0,4,0,1,0,0.0
0,0.422974785,37,0,1730.0,0.0,6,0,1,0,0.0
0,0.02456455,41,0,0.304847576,8003.0,6,0,2,0,3.0
0,0.9999998999999999,66,0,1203.0,,4,1,1,0,
0,0.09198160400000001,30,0,2216.0,,3,0,1,0,0.0
1,0.476809926,42,3,4351.0,,16,0,2,0,0.0
0,0.030479501000000003,72,0,0.236148579,4818.0,9,0,1,0,0.0
0,0.783440008,60,1,0.45910956700000005,9500.0,20,0,2,0,1.0
0,0.029988842999999998,84,0,0.014746313,4000.0,10,0,0,0,0.0
0,0.6082445129999999,50,0,4242.0,,12,0,2,0,0.0
0,0.594405594,25,0,0.012723416999999999,3300.0,2,0,0,0,0.0
0,0.046164607,59,0,0.274465692,5333.0,9,0,2,0,1.0
0,0.50440939,31,1,0.363696956,4500.0,7,0,1,0,0.0
0,0.556262844,52,0,4385.0,,15,0,2,0,0.0
0,0.075646218,47,0,0.287225919,9166.0,4,0,1,0,2.0
0,0.144171166,44,0,0.15556535800000001,6800.0,4,0,1,0,0.0
0,0.904735933,49,1,0.306671794,5200.0,8,0,1,0,2.0
1,0.422890049,44,0,0.090126371,7200.0,9,0,0,0,2.0
0,0.27428896199999997,56,1,0.324306473,9083.0,9,0,1,0,1.0
0,0.006892161,69,0,0.0026898409999999997,9665.0,14,0,0,0,1.0
0,0.053222777,65,0,0.00707623,6217.0,6,0,0,0,0.0
0,0.033041798,62,0,0.05254177,28129.0,17,0,1,0,3.0
0,0.825398132,28,1,0.328826393,5546.0,18,0,0,0,0.0
0,0.661429261,32,0,0.066158307,9310.0,10,0,0,0,2.0
0,0.246169826,35,1,0.697417616,11500.0,10,0,4,0,0.0
0,0.12480137599999999,62,0,0.5668944570000001,6584.0,15,0,2,0,0.0
0,0.736991057,40,0,0.38769171,5150.0,6,0,1,0,2.0
0,0.613875912,53,2,0.45603112799999995,5139.0,20,0,1,2,0.0
0,0.23072794600000002,43,0,0.264298856,12500.0,15,0,2,0,0.0
0,0.827381813,46,1,0.26123672,7341.0,13,0,0,0,0.0
0,0.09563478800000001,36,0,0.17526690399999997,2247.0,4,0,0,0,1.0
0,0.9999998999999999,26,0,0.36394328200000003,1480.0,2,0,0,0,0.0
0,0.019461318999999998,71,0,403.0,,9,0,1,0,0.0
0,0.0,30,0,0.11551277300000001,2700.0,3,0,0,0,1.0
0,0.063516166,47,0,0.050573282000000004,11250.0,7,0,1,0,2.0
0,0.254548841,56,0,0.461357487,8500.0,15,0,2,0,4.0
0,0.0057842,51,0,0.48962759299999997,4000.0,7,0,2,0,3.0
0,0.01332886,56,0,0.0059988,5000.0,5,0,0,0,0.0
0,0.32583136100000004,72,0,0.620641562,3584.0,23,0,1,0,0.0
0,0.45625729,35,0,0.589138782,3645.0,4,0,1,0,2.0
0,0.00739963,60,0,4.0,,5,1,0,0,0.0
0,0.9999998999999999,35,4,0.24463393100000003,3400.0,5,0,0,0,0.0
0,0.9999998999999999,41,0,0.0,,0,1,0,0,0.0
0,0.008143465,61,1,0.115809206,4800.0,8,0,0,0,0.0
0,0.016969183,76,0,0.004847016,3300.0,6,0,0,0,0.0
0,0.044842704000000004,36,0,0.45891246,4100.0,9,0,1,0,2.0
0,0.0,68,0,1817.0,,5,0,1,0,0.0
0,0.9999998999999999,47,0,2174.0,,1,0,1,0,
0,0.033912429,70,0,0.054954205,1200.0,9,0,0,0,1.0
0,0.950609878,44,0,0.446610678,3333.0,3,0,1,0,1.0
0,0.0,38,1,0.137086291,10000.0,9,0,1,0,2.0
0,0.6125292410000001,35,1,714.0,,4,0,0,0,
0,0.48647462799999996,54,0,0.09166012800000001,21666.0,7,0,0,0,3.0
0,0.008373953,40,0,0.18879225,19200.0,11,0,3,0,0.0
1,0.9999998999999999,84,0,36.0,,0,0,0,0,0.0
0,0.510658322,60,0,0.28038746,9600.0,6,0,2,0,1.0
0,0.639509608,56,1,0.38210368899999997,4011.0,9,0,1,0,0.0
0,0.140213796,60,0,0.581805234,5616.0,11,0,2,0,0.0
0,0.007223665,73,0,7.0,,4,0,0,0,0.0
0,0.0,67,0,0.021000276000000002,7237.0,3,0,0,0,0.0
0,0.770012568,52,0,0.513340544,11093.0,19,0,2,0,2.0
0,0.127036914,60,5,0.653335574,5950.0,23,0,1,2,0.0
0,0.106315729,31,0,0.222395023,4500.0,7,0,0,0,0.0
0,0.634058392,41,0,0.05401800599999999,2998.0,2,0,0,0,0.0
0,0.430224254,54,0,0.597070449,4300.0,6,0,2,0,1.0
0,0.05069385,46,0,1793.0,,7,0,1,0,0.0
0,0.0,46,0,0.42950391600000004,9191.0,4,0,2,0,3.0
0,0.015912352,47,0,0.513281919,3500.0,5,0,1,0,2.0
0,0.165776502,48,0,0.308093606,6708.0,10,0,1,0,3.0
0,0.012660166,43,1,0.216267655,9982.0,19,0,1,0,2.0
0,0.145783993,39,2,0.348405733,9000.0,11,0,1,0,1.0
0,0.381237525,47,0,0.116033755,3791.0,3,0,0,1,3.0
1,0.656715909,57,2,0.388427652,11803.0,10,0,2,2,0.0
0,0.154805576,54,0,0.23250329100000003,18231.0,9,0,2,0,0.0
0,0.376196108,37,0,104.0,,5,0,0,0,0.0
0,0.563091739,53,3,0.463069767,10749.0,11,0,1,0,2.0
0,0.9999998999999999,41,0,0.0,3880.0,1,0,0,0,2.0
0,0.12555465300000002,28,0,0.44761508,4800.0,5,0,2,0,0.0
0,0.31162417600000003,73,0,0.82811459,1500.0,13,0,0,0,0.0
0,0.009392928,56,0,0.17774395399999998,5912.0,15,0,1,0,1.0
0,0.768836335,61,0,7929.0,,17,0,3,0,0.0
0,0.157967549,54,0,0.494651709,3832.0,22,0,2,0,1.0
0,0.022926934,67,0,0.066349038,5666.0,8,0,0,0,0.0
0,0.06324368400000001,69,0,127.0,,10,0,0,0,0.0
1,0.41650771600000003,58,0,0.297036902,5500.0,9,0,0,0,0.0
0,0.070926373,38,0,0.45850592799999995,7000.0,17,0,1,0,3.0
0,0.130226445,61,0,0.35951539,17250.0,22,0,2,0,1.0
0,0.102794126,32,0,3863.0,,4,0,1,0,0.0
0,0.238278248,29,1,0.054877231,7452.0,5,0,0,0,0.0
0,0.019555929,68,0,0.40328119,2620.0,18,0,1,0,1.0
0,0.005300165999999999,54,0,4517.0,,9,0,2,0,2.0
0,0.14379555800000002,60,0,0.378475336,14494.0,11,0,2,0,1.0
0,0.035171631,45,0,906.0,1.0,14,0,1,0,2.0
0,0.493904229,53,0,6867.0,,12,0,3,0,0.0
0,0.670886076,35,0,0.521137161,5416.0,5,0,2,0,1.0
0,0.028112997,80,0,0.11606690300000001,5918.0,3,0,1,0,1.0
0,0.036041346,95,0,0.25117096,6831.0,5,0,1,0,0.0
0,0.47619728,31,0,0.42157751600000004,4411.0,9,0,0,0,2.0
1,0.0,44,0,0.22535211300000002,2200.0,5,0,1,0,1.0
0,0.001700565,80,0,0.0,5085.0,4,0,0,0,0.0
0,0.082942394,45,1,0.48750249999999995,5000.0,8,0,1,0,5.0
0,0.8422063120000001,33,0,0.508317426,7333.0,9,0,2,0,2.0
0,0.001733304,78,0,1.024987506,2000.0,6,0,3,0,1.0
0,0.107698955,55,0,0.621196972,7000.0,18,0,2,0,0.0
1,0.0,47,3,0.226155093,3700.0,10,1,0,1,0.0
1,0.711193568,32,1,0.03334423,3058.0,4,0,0,1,1.0
0,0.9999998999999999,57,0,2.074925075,1000.0,2,0,1,0,0.0
0,0.001229141,68,0,0.15773883,4050.0,7,0,0,0,0.0
0,0.282526435,61,0,0.39506517700000005,10739.0,21,0,2,0,1.0
0,0.556870261,36,0,0.4155974,6000.0,7,0,3,0,2.0
0,0.053552244000000006,55,0,600.0,1.0,4,0,1,0,0.0
0,0.41743918,54,0,0.21965851399999997,6500.0,8,0,0,0,1.0
0,0.095078716,39,0,0.142095441,3750.0,6,0,1,0,0.0
0,0.238644936,46,0,0.087090559,5189.0,12,0,0,0,0.0
0,0.026014885,71,0,0.298515668,5456.0,22,0,1,0,0.0
0,0.212464485,58,0,0.518991188,3290.0,10,0,1,0,1.0
0,0.38388475,58,0,0.506360867,5580.0,10,0,1,0,0.0
0,0.0029300959999999997,39,0,0.313523433,7083.0,6,0,1,0,0.0
